Funds Center,Name,From,To,User Name,Person Respons.,Fund
15112155,ETD-Faizabad,01.04.2006,31.12.9999,SUPPORT_FI01,Sri D C Dixit,
15112157,ETD-Raebareli,01.04.2006,31.12.9999,SUPPORT_FI01,Akhilesh Kumar Yadav,
15113154,ETD-Gonda,01.04.2006,31.12.9999,SUPPORT_FI01,Sri C.P.Pandey,
15113156,ETD-Bahraich,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Keshav Deo,
15114158,ETC-I - Lucknow,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Ashutosh Dixit,
15114159,ETD I-Lucknow,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Raj Alok,
15114160,ETD II-Lucknow,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Vinay K. Tripath,
15114161,ETD III-Lucknow,01.04.2006,31.12.9999,SUPPORT_FI01,Sri SanjeevBhaskar,
15115162,ETC - Bareilly,01.04.2006,31.12.9999,SUPPORT_FI01,Sri A K Jaiswal,
15115163,ETD I-Bareilly,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Anil kumar gupta,
15115164,ETD II-Bareilly,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Anshuman Singh,
15115165,E 400 KV SD-Bareilly,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Arvind Naik,
15115166,ETD-Badaun,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Saurabh Aggarwal,
15116167,E T & C C - Lucknow,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Pankaj Malviya,
15116168,ET&CD-Lucknow,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Md Raza Ahmed,
15116169,ET&CD-Sultanpur,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Sanjay Singh,
15116170,ET&CD-Sarojani Nagar,01.04.2006,31.12.9999,SUPPORT_FI01,Sri P.K.Mishra,
15116171,ET&CD-Bareilly,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Lakhi Chand,
15116294,ET&CD SPN,01.04.2006,31.12.9999,SUPPORT_FI01,,
15117172,ETD-Shahjahanpur,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Rajiv Kant Upadh,
15117173,ETD-Sitapur,01.04.2006,31.12.9999,SUPPORT_FI01,SRI Devendra SINGH,
15117174,ETD-Hardoi,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Sanjay Paswan,
15117175,ETD-Lakhimpur,01.04.2006,31.12.9999,SUPPORT_FI01,Sri Ramanand,
15118157,ETD-Raebareli,01.04.2006,31.12.9999,SUPPORT_FI01,Akhilesh Kumar Yadav,
15118176,ETC-II - Lucknow,01.04.2006,31.12.9999,SUPPORT_FI01,SRI RAJIV SHARMA,
