Mat.Typ,Material,Base Unit of Measure,Mat.Desc,Plant,Mat.Grp,Mat.Grp Desc,Sub group,Sub Group Desc,Split Valuation Status,Serial Number Status
ZSPR,4000004399,NO,"SEAL,RUBBER",4141,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004397,NO,"SCREEN,VIBRATING",4279,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004396,NO,SANSA,4218,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZTEQ,4200003509,SET,"DISCNCT S/W,3PH,1250A,INT PART,W/ALL ACC",3200,M0029,GIS EQUIPMENT & ACCS,EX-M0029-001,132 GIS EQP. & ACCS,YES,NO
ZTEQ,4200003504,SET,"TERM CONNCT,MALE/FEMALE,OPTICAL FIB,SAS",4219,M0014,COMM. EQUIP. & MAT.,EX-M0014-005,MDL CNTRLR & MIS ITM,NO,NO
ZSPR,4000004389,NO,"ROD,INTERLOCKING",4217,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004388,NO,"RING,COMPRESSR,STOP/PLAIN/OIL CNTRL,70MM",4130,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004387,NO,"RING,COMPRESSR,STOP/PLAIN/OIL CNTRL,50MM",4273,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZTEQ,4200003483,SET,"MOTOR,W/GEAR ASSY,ISOLATOR,GIS,145KV",4205,M0029,GIS EQUIPMENT & ACCS,EX-M0029-001,132 GIS EQP. & ACCS,YES,NO
ZSPR,4000004383,NO,"STARTER MODULE,ZONE 4",4133,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004380,NO,"TABLE GLASS,8MM",4113,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004338,NO,WORK HEAD,3151,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,YES,NO
ZSPR,4000004282,NO,"PA AMPLIFIER,HIGH POWER,160W",4109,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004280,L,"AGENT,CURING",4107,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004279,KG,"STRIP,CU,1X8MM",4108,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004278,NO,"BLADE,SHEARING MACHINE",4152,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004277,TO,"STUCTURE,MS",4129,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004276,TO,"CR SHEET/COIL,1.20MM",4107,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004275,TO,"COKE DUST,HARD",4157,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004274,TO,"ZINC,RECOVERED,ASH",4105,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004273,TO,"ZINC,RECOVERED,KETTLE",4133,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004272,TO,ASH.ZINC,4129,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004271,TO,ZINC DRASS,4220,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004250,NO,"PIPE,FIRE EXTINGUISHER",4279,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004248,NO,"SLD,PAPER,GLOSSY",3188,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004247,NO,"RAIPER,WOOD,TEAK",5192,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004246,NO,"FRAME,WOOD,TEAK",4273,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004236,NO,"OIL SEAL,28MM",4197,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004235,NO,"OIL SEAL,19MM",4210,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004227,NO,"SUPPORT,ASSY,FLOOR",4112,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004226,NO,RAWA BOLT,4233,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004225,NO,RAWAL PLUG,4231,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004224,NO,SOM GUARD,4272,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
ZSPR,4000004217,NO,"NOZZLE,ASSY,STRIP BAG",4285,M0046,MISC. MATERIAL,EX-M0046-001,MISC. MATERIALS,NO,NO
